 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=0.5) m0=160, m1/2=470, tanbeta=50, A0=0, sign(mu)=+ve| 0.00085008 | 0.00302968 | 0.0500354 | 0.034534 | 0.00234 | 0.0137 | 0.0006049 | 0.000465 | 0.000652 | 0.00783 |
 |(scale=0.5) m0=160, m1/2=480, tanbeta=50, A0=0, sign(mu)=+ve| 0.00071407 | 0.00259419 | 0.0451706 | 0.0321737 | 0.00188 | 0.0114 | 0.000493 | 0.000379 | 0.000511 | 0.00632 |
 |(scale=0.5) m0=160, m1/2=490, tanbeta=50, A0=0, sign(mu)=+ve| 0.000601172 | 0.00222905 | 0.0406398 | 0.02989 | 0.00151 | 0.00953 | 0.0004025 | 0.0003096 | 0.000401 | 0.00511 |
 |(scale=0.5) m0=160, m1/2=500, tanbeta=50, A0=0, sign(mu)=+ve| 0.000505983 | 0.00191616 | 0.0366357 | 0.0277758 | 0.00122 | 0.00795 | 0.0003296 | 0.0002529 | 0.000315 | 0.00413 |
 |(scale=0.5) m0=170, m1/2=100, tanbeta=50, A0=0, sign(mu)=+ve| 4.259 | 7.0006 | 95.0817 | 0.36032 | 43.7 | 38.1 | 11.959 | 11.87 | 109 | 205 |
 |(scale=0.5) m0=170, m1/2=110, tanbeta=50, A0=0, sign(mu)=+ve| 3.0106 | 5.2907 | 59.5586 | 0.38329 | 31.5 | 29 | 9.074 | 8.17 | 66.1 | 138 |
 |(scale=0.5) m0=170, m1/2=120, tanbeta=50, A0=0, sign(mu)=+ve| 2.1638 | 4.0234 | 32.1263 | 0.41557 | 22.9 | 22.4 | 6.801 | 5.69 | 41.2 | 95.5 |
 |(scale=0.5) m0=170, m1/2=130, tanbeta=50, A0=0, sign(mu)=+ve| 1.5755 | 3.0856 | 19.6681 | 0.46465 | 16.9 | 17.4 | 5.086 | 4.004 | 26.3 | 67 |
 |(scale=0.5) m0=170, m1/2=140, tanbeta=50, A0=0, sign(mu)=+ve| 1.1552 | 2.384 | 12.7897 | 0.53676 | 12.6 | 13.7 | 3.799 | 2.855 | 17.1 | 47.7 |
 |(scale=0.5) m0=170, m1/2=150, tanbeta=50, A0=0, sign(mu)=+ve| 0.8567 | 1.8581 | 8.76128 | 0.65399 | 9.54 | 11 | 2.842 | 2.063 | 11.3 | 34.4 |
 |(scale=0.5) m0=170, m1/2=160, tanbeta=50, A0=0, sign(mu)=+ve| 0.65048 | 1.45723 | 6.24784 | 0.8601 | 7.18 | 8.73 | 2.141 | 1.496 | 7.75 | 25.3 |
 |(scale=0.5) m0=170, m1/2=170, tanbeta=50, A0=0, sign(mu)=+ve| 0.50066 | 1.15183 | 4.57942 | 1.32337 | 5.43 | 6.99 | 1.612 | 1.106 | 5.4 | 18.7 |
 |(scale=0.5) m0=170, m1/2=180, tanbeta=50, A0=0, sign(mu)=+ve| 0.38757 | 0.91765 | 3.4258 | 1.05873 | 4.14 | 5.63 | 1.222 | 0.823 | 3.82 | 14.1 |
 |(scale=0.5) m0=170, m1/2=190, tanbeta=50, A0=0, sign(mu)=+ve| 0.30479 | 0.73533 | 2.61927 | 1.7112 | 3.18 | 4.56 | 0.9337 | 0.618 | 2.74 | 10.6 |
 |(scale=0.5) m0=170, m1/2=200, tanbeta=50, A0=0, sign(mu)=+ve| 0.24091 | 0.59237 | 2.03885 | 3.50389 | 2.45 | 3.72 | 0.7165 | 0.469 | 1.99 | 8.14 |
 |(scale=0.5) m0=170, m1/2=210, tanbeta=50, A0=0, sign(mu)=+ve| 0.19251 | 0.47979 | 1.60609 | 13.208 | 1.91 | 3.05 | 0.5533 | 0.3577 | 1.47 | 6.3 |
 |(scale=0.5) m0=170, m1/2=220, tanbeta=50, A0=0, sign(mu)=+ve| 0.15376 | 0.390957 | 1.28155 | 37.6947 | 1.49 | 2.51 | 0.4291 | 0.2758 | 1.08 | 4.87 |
 |(scale=0.5) m0=170, m1/2=230, tanbeta=50, A0=0, sign(mu)=+ve| 0.095678 | 0.228407 | 1.48117 | 0.119542 | 0.712 | 1.4 | 0.1839 | 0.1331 | 0.486 | 2.38 |
 |(scale=0.5) m0=170, m1/2=240, tanbeta=50, A0=0, sign(mu)=+ve| 0.075735 | 0.183615 | 1.21085 | 0.114275 | 0.542 | 1.12 | 0.1385 | 0.1002 | 0.349 | 1.8 |
 |(scale=0.5) m0=170, m1/2=250, tanbeta=50, A0=0, sign(mu)=+ve| 0.060206 | 0.148382 | 0.999519 | 0.109204 | 0.414 | 0.908 | 0.104 | 0.0759 | 0.253 | 1.37 |
 |(scale=0.5) m0=170, m1/2=260, tanbeta=50, A0=0, sign(mu)=+ve| 0.048214 | 0.120258 | 0.831626 | 0.104088 | 0.318 | 0.736 | 0.07891 | 0.0578 | 0.185 | 1.04 |
 |(scale=0.5) m0=170, m1/2=270, tanbeta=50, A0=0, sign(mu)=+ve| 0.038701 | 0.098033 | 0.698887 | 0.099175 | 0.245 | 0.598 | 0.06018 | 0.0443 | 0.136 | 0.802 |
 |(scale=0.5) m0=170, m1/2=280, tanbeta=50, A0=0, sign(mu)=+ve| 0.03115 | 0.080132 | 0.590459 | 0.094204 | 0.189 | 0.487 | 0.04611 | 0.03411 | 0.1 | 0.619 |
 |(scale=0.5) m0=170, m1/2=290, tanbeta=50, A0=0, sign(mu)=+ve| 0.025258 | 0.0658365 | 0.500887 | 0.08958 | 0.147 | 0.398 | 0.03559 | 0.02639 | 0.0745 | 0.48 |
 |(scale=0.5) m0=170, m1/2=300, tanbeta=50, A0=0, sign(mu)=+ve| 0.0204784 | 0.0541872 | 0.427921 | 0.084848 | 0.115 | 0.326 | 0.02754 | 0.02054 | 0.0556 | 0.373 |
 |(scale=0.5) m0=170, m1/2=310, tanbeta=50, A0=0, sign(mu)=+ve| 0.0166818 | 0.0448157 | 0.367501 | 0.080399 | 0.0896 | 0.268 | 0.02139 | 0.01604 | 0.0418 | 0.292 |
 |(scale=0.5) m0=170, m1/2=320, tanbeta=50, A0=0, sign(mu)=+ve| 0.0136413 | 0.0372054 | 0.316941 | 0.07603 | 0.0703 | 0.221 | 0.01671 | 0.01256 | 0.0315 | 0.228 |
 |(scale=0.5) m0=170, m1/2=330, tanbeta=50, A0=0, sign(mu)=+ve| 0.0111722 | 0.0309461 | 0.274455 | 0.071733 | 0.0552 | 0.182 | 0.01314 | 0.00988 | 0.0238 | 0.18 |
 |(scale=0.5) m0=170, m1/2=340, tanbeta=50, A0=0, sign(mu)=+ve| 0.0091682 | 0.025815 | 0.238657 | 0.067685 | 0.0435 | 0.15 | 0.01035 | 0.0078 | 0.0181 | 0.142 |
 |(scale=0.5) m0=170, m1/2=350, tanbeta=50, A0=0, sign(mu)=+ve| 0.0075603 | 0.021596 | 0.208491 | 0.063796 | 0.0344 | 0.124 | 0.00818 | 0.00619 | 0.0138 | 0.112 |
 |(scale=0.5) m0=170, m1/2=360, tanbeta=50, A0=0, sign(mu)=+ve| 0.0062344 | 0.0181051 | 0.182525 | 0.059993 | 0.0272 | 0.103 | 0.006485 | 0.00491 | 0.0106 | 0.0888 |
 |(scale=0.5) m0=170, m1/2=370, tanbeta=50, A0=0, sign(mu)=+ve| 0.0051621 | 0.0152233 | 0.160334 | 0.056341 | 0.0216 | 0.0852 | 0.00516 | 0.00391 | 0.00812 | 0.0706 |
 |(scale=0.5) m0=170, m1/2=380, tanbeta=50, A0=0, sign(mu)=+ve| 0.0042735 | 0.0128351 | 0.141371 | 0.052875 | 0.0172 | 0.0707 | 0.004112 | 0.003133 | 0.00625 | 0.0562 |
 |(scale=0.5) m0=170, m1/2=390, tanbeta=50, A0=0, sign(mu)=+ve| 0.00354584 | 0.0108335 | 0.124883 | 0.04957 | 0.0137 | 0.0587 | 0.003294 | 0.002507 | 0.00482 | 0.0448 |
 |(scale=0.5) m0=170, m1/2=400, tanbeta=50, A0=0, sign(mu)=+ve| 0.00295223 | 0.00917537 | 0.110547 | 0.046429 | 0.0109 | 0.0488 | 0.002639 | 0.002016 | 0.00373 | 0.0359 |
 |(scale=0.5) m0=170, m1/2=410, tanbeta=50, A0=0, sign(mu)=+ve| 0.00246018 | 0.00776767 | 0.09814 | 0.043495 | 0.00869 | 0.0406 | 0.002122 | 0.001623 | 0.00289 | 0.0287 |
 |(scale=0.5) m0=170, m1/2=420, tanbeta=50, A0=0, sign(mu)=+ve| 0.00205358 | 0.00660801 | 0.087334 | 0.0406969 | 0.00695 | 0.0338 | 0.00171 | 0.001309 | 0.00225 | 0.023 |
 |(scale=0.5) m0=170, m1/2=430, tanbeta=50, A0=0, sign(mu)=+ve| 0.0017169 | 0.00562838 | 0.0778167 | 0.0381186 | 0.00556 | 0.0281 | 0.00138 | 0.001059 | 0.00175 | 0.0185 |
 |(scale=0.5) m0=170, m1/2=440, tanbeta=50, A0=0, sign(mu)=+ve| 0.00143575 | 0.00479687 | 0.0696738 | 0.0356384 | 0.00446 | 0.0234 | 0.00112 | 0.000857 | 0.00136 | 0.0149 |
 |(scale=0.5) m0=170, m1/2=450, tanbeta=50, A0=0, sign(mu)=+ve| 0.0012037 | 0.00409393 | 0.0622923 | 0.0332532 | 0.00358 | 0.0195 | 0.000908 | 0.000696 | 0.00107 | 0.012 |
 |(scale=0.5) m0=170, m1/2=460, tanbeta=50, A0=0, sign(mu)=+ve| 0.00206066 | 0.0078226 | 0.0329533 | 2.24555 | 0.0114 | 0.0507 | 0.00335 | 0.001968 | 0.00324 | 0.0343 |
 |(scale=0.5) m0=170, m1/2=470, tanbeta=50, A0=0, sign(mu)=+ve| 0.00176616 | 0.00682834 | 0.0293938 | 3.18411 | 0.00952 | 0.0439 | 0.002833 | 0.001651 | 0.00264 | 0.0287 |
 |(scale=0.5) m0=170, m1/2=480, tanbeta=50, A0=0, sign(mu)=+ve| 0.00151523 | 0.0059713 | 0.0262839 | 5.53283 | 0.00798 | 0.038 | 0.002398 | 0.001396 | 0.00215 | 0.0241 |
 |(scale=0.5) m0=170, m1/2=490, tanbeta=50, A0=0, sign(mu)=+ve| 0.00130251 | 0.00523225 | 0.0234896 | 14.8216 | 0.0067 | 0.0329 | 0.002033 | 0.00118 | 0.00176 | 0.0202 |
 |(scale=0.5) m0=170, m1/2=500, tanbeta=50, A0=0, sign(mu)=+ve| 0.00111985 | 0.00458288 | 0.0210251 | 0.0198617 | 0.00563 | 0.0285 | 0.001727 | 0.000998 | 0.00144 | 0.017 |
 |(scale=0.5) m0=180, m1/2=100, tanbeta=50, A0=0, sign(mu)=+ve| 4.12 | 6.481 | 94.4624 | 0.26965 | 39.5 | 35.5 | 11.128 | 10.83 | 108 | 196 |
 |(scale=0.5) m0=180, m1/2=110, tanbeta=50, A0=0, sign(mu)=+ve| 2.9254 | 4.9209 | 59.2672 | 0.28 | 28.7 | 27.2 | 8.482 | 7.52 | 65.7 | 133 |
 |(scale=0.5) m0=180, m1/2=120, tanbeta=50, A0=0, sign(mu)=+ve| 2.1153 | 3.7764 | 32.0795 | 0.29369 | 21 | 21.1 | 6.395 | 5.28 | 41 | 92.1 |
 |(scale=0.5) m0=180, m1/2=130, tanbeta=50, A0=0, sign(mu)=+ve| 1.5481 | 2.9129 | 19.6669 | 0.31248 | 15.6 | 16.5 | 4.804 | 3.751 | 26.3 | 64.8 |
 |(scale=0.5) m0=180, m1/2=140, tanbeta=50, A0=0, sign(mu)=+ve| 1.1437 | 2.2628 | 12.8357 | 0.33742 | 11.7 | 13 | 3.611 | 2.686 | 17.2 | 46.3 |
 |(scale=0.5) m0=180, m1/2=150, tanbeta=50, A0=0, sign(mu)=+ve| 0.8464 | 1.7709 | 8.80906 | 0.37293 | 8.89 | 10.4 | 2.716 | 1.943 | 11.3 | 33.4 |
 |(scale=0.5) m0=180, m1/2=160, tanbeta=50, A0=0, sign(mu)=+ve| 0.64112 | 1.39434 | 6.25645 | 0.42113 | 6.76 | 8.36 | 2.047 | 1.422 | 7.7 | 24.5 |
 |(scale=0.5) m0=180, m1/2=170, tanbeta=50, A0=0, sign(mu)=+ve| 0.4919 | 1.10474 | 4.59238 | 0.48986 | 5.14 | 6.72 | 1.549 | 1.053 | 5.35 | 18.2 |
 |(scale=0.5) m0=180, m1/2=180, tanbeta=50, A0=0, sign(mu)=+ve| 0.38216 | 0.8828 | 3.43788 | 0.59016 | 3.94 | 5.43 | 1.179 | 0.787 | 3.78 | 13.7 |
 |(scale=0.5) m0=180, m1/2=190, tanbeta=50, A0=0, sign(mu)=+ve| 0.29959 | 0.7094 | 2.63255 | 0.74531 | 3.03 | 4.41 | 0.9007 | 0.592 | 2.71 | 10.4 |
 |(scale=0.5) m0=180, m1/2=200, tanbeta=50, A0=0, sign(mu)=+ve| 0.23703 | 0.57142 | 2.04527 | 1.01307 | 2.35 | 3.6 | 0.693 | 0.45 | 1.97 | 7.94 |
 |(scale=0.5) m0=180, m1/2=210, tanbeta=50, A0=0, sign(mu)=+ve| 0.18908 | 0.46401 | 1.61263 | 1.71049 | 1.83 | 2.95 | 0.5361 | 0.3449 | 1.45 | 6.14 |
 |(scale=0.5) m0=180, m1/2=220, tanbeta=50, A0=0, sign(mu)=+ve| 0.15181 | 0.37889 | 1.28621 | 0.979979 | 1.43 | 2.43 | 0.4162 | 0.2657 | 1.07 | 4.77 |
 |(scale=0.5) m0=180, m1/2=230, tanbeta=50, A0=0, sign(mu)=+ve| 0.121899 | 0.310685 | 1.03738 | 1.36715 | 1.13 | 2.01 | 0.3255 | 0.2059 | 0.794 | 3.71 |
 |(scale=0.5) m0=180, m1/2=240, tanbeta=50, A0=0, sign(mu)=+ve| 0.098644 | 0.255968 | 0.843981 | 2.02035 | 0.892 | 1.67 | 0.2557 | 0.1615 | 0.594 | 2.91 |
 |(scale=0.5) m0=180, m1/2=250, tanbeta=50, A0=0, sign(mu)=+ve| 0.080231 | 0.211748 | 0.693545 | 3.29357 | 0.709 | 1.39 | 0.2023 | 0.1266 | 0.447 | 2.29 |
 |(scale=0.5) m0=180, m1/2=260, tanbeta=50, A0=0, sign(mu)=+ve| 0.065505 | 0.175781 | 0.574098 | 6.18679 | 0.566 | 1.16 | 0.1599 | 0.1001 | 0.339 | 1.81 |
 |(scale=0.5) m0=180, m1/2=270, tanbeta=50, A0=0, sign(mu)=+ve| 0.053601 | 0.146559 | 0.47757 | 15.5105 | 0.453 | 0.976 | 0.1274 | 0.0794 | 0.259 | 1.44 |
 |(scale=0.5) m0=180, m1/2=280, tanbeta=50, A0=0, sign(mu)=+ve| 0.044076 | 0.122519 | 0.40005 | 0.10367 | 0.364 | 0.821 | 0.1024 | 0.0634 | 0.198 | 1.15 |
 |(scale=0.5) m0=180, m1/2=290, tanbeta=50, A0=0, sign(mu)=+ve| 0.036401 | 0.102858 | 0.336497 | 36.7951 | 0.294 | 0.693 | 0.0824 | 0.0508 | 0.153 | 0.925 |
 |(scale=0.5) m0=180, m1/2=300, tanbeta=50, A0=0, sign(mu)=+ve| 0.030142 | 0.086688 | 0.285084 | 14.0859 | 0.238 | 0.586 | 0.06654 | 0.041 | 0.119 | 0.745 |
 |(scale=0.5) m0=180, m1/2=310, tanbeta=50, A0=0, sign(mu)=+ve| 0.025094 | 0.0732325 | 0.242933 | 8.83825 | 0.193 | 0.496 | 0.05395 | 0.03308 | 0.0925 | 0.603 |
 |(scale=0.5) m0=180, m1/2=320, tanbeta=50, A0=0, sign(mu)=+ve| 0.0209091 | 0.062047 | 0.208488 | 6.72168 | 0.158 | 0.421 | 0.04393 | 0.02682 | 0.0723 | 0.489 |
 |(scale=0.5) m0=180, m1/2=330, tanbeta=50, A0=0, sign(mu)=+ve| 0.017493 | 0.0527236 | 0.179175 | 5.72587 | 0.129 | 0.359 | 0.03583 | 0.0218 | 0.0568 | 0.398 |
 |(scale=0.5) m0=180, m1/2=340, tanbeta=50, A0=0, sign(mu)=+ve| 0.0146432 | 0.0448283 | 0.154741 | 5.23077 | 0.105 | 0.306 | 0.02932 | 0.01785 | 0.0448 | 0.325 |
 |(scale=0.5) m0=180, m1/2=350, tanbeta=50, A0=0, sign(mu)=+ve| 0.0123028 | 0.0383055 | 0.133876 | 5.04605 | 0.0865 | 0.261 | 0.02415 | 0.01462 | 0.0354 | 0.266 |
 |(scale=0.5) m0=180, m1/2=360, tanbeta=50, A0=0, sign(mu)=+ve| 0.0103553 | 0.0328115 | 0.116332 | 5.14197 | 0.0711 | 0.223 | 0.01989 | 0.01202 | 0.0281 | 0.218 |
 |(scale=0.5) m0=180, m1/2=370, tanbeta=50, A0=0, sign(mu)=+ve| 0.0087358 | 0.02813 | 0.10124 | 5.57816 | 0.0586 | 0.191 | 0.01644 | 0.00991 | 0.0224 | 0.18 |
 |(scale=0.5) m0=180, m1/2=380, tanbeta=50, A0=0, sign(mu)=+ve| 0.0073804 | 0.0241817 | 0.088583 | 6.51483 | 0.0484 | 0.164 | 0.01366 | 0.00819 | 0.0179 | 0.148 |
 |(scale=0.5) m0=180, m1/2=390, tanbeta=50, A0=0, sign(mu)=+ve| 0.0062537 | 0.0208368 | 0.0777064 | 8.36187 | 0.0401 | 0.141 | 0.01133 | 0.00678 | 0.0143 | 0.122 |
 |(scale=0.5) m0=180, m1/2=400, tanbeta=50, A0=0, sign(mu)=+ve| 0.0053098 | 0.0180003 | 0.0682822 | 12.4392 | 0.0332 | 0.121 | 0.00944 | 0.00564 | 0.0115 | 0.101 |
 |(scale=0.5) m0=180, m1/2=410, tanbeta=50, A0=0, sign(mu)=+ve| 0.0045096 | 0.0155659 | 0.0601935 | 25.3368 | 0.0276 | 0.104 | 0.00788 | 0.00469 | 0.00925 | 0.0841 |
 |(scale=0.5) m0=180, m1/2=420, tanbeta=50, A0=0, sign(mu)=+ve| 0.0038391 | 0.0134802 | 0.0531833 | 0.033719 | 0.023 | 0.0899 | 0.006602 | 0.00391 | 0.00746 | 0.0699 |
 |(scale=0.5) m0=180, m1/2=430, tanbeta=50, A0=0, sign(mu)=+ve| 0.00327498 | 0.0116985 | 0.0470626 | 34.7318 | 0.0191 | 0.0776 | 0.00554 | 0.00328 | 0.00603 | 0.0582 |
 |(scale=0.5) m0=180, m1/2=440, tanbeta=50, A0=0, sign(mu)=+ve| 0.00280234 | 0.0101702 | 0.0417523 | 11.2291 | 0.016 | 0.067 | 0.004662 | 0.002742 | 0.00489 | 0.0486 |
 |(scale=0.5) m0=180, m1/2=450, tanbeta=50, A0=0, sign(mu)=+ve| 0.00239378 | 0.00886186 | 0.037144 | 5.62675 | 0.0134 | 0.0579 | 0.003925 | 0.002305 | 0.00397 | 0.0406 |
 |(scale=0.5) m0=180, m1/2=460, tanbeta=50, A0=0, sign(mu)=+ve| 0.0020495 | 0.00774086 | 0.0329829 | 3.37456 | 0.0112 | 0.05 | 0.003315 | 0.00194 | 0.00323 | 0.0339 |
 |(scale=0.5) m0=180, m1/2=470, tanbeta=50, A0=0, sign(mu)=+ve| 0.00175802 | 0.00674071 | 0.0294244 | 2.25259 | 0.00936 | 0.0433 | 0.002799 | 0.001634 | 0.00263 | 0.0284 |
 |(scale=0.5) m0=180, m1/2=480, tanbeta=50, A0=0, sign(mu)=+ve| 0.00150807 | 0.00590007 | 0.0263014 | 1.60088 | 0.00785 | 0.0375 | 0.002375 | 0.001378 | 0.00214 | 0.0239 |
 |(scale=0.5) m0=180, m1/2=490, tanbeta=50, A0=0, sign(mu)=+ve| 0.00129645 | 0.00517313 | 0.0235082 | 1.21925 | 0.00659 | 0.0325 | 0.00201 | 0.001164 | 0.00175 | 0.02 |
 |(scale=0.5) m0=180, m1/2=500, tanbeta=50, A0=0, sign(mu)=+ve| 0.00111476 | 0.00453607 | 0.0210516 | 0.923775 | 0.00554 | 0.0282 | 0.001715 | 0.000985 | 0.00143 | 0.0168 |
 |(scale=0.5) m0=190, m1/2=100, tanbeta=50, A0=0, sign(mu)=+ve| 3.969 | 5.9697 | 93.9462 | 0.20776 | 35.7 | 33.1 | 10.347 | 9.85 | 107 | 187 |
 |(scale=0.5) m0=190, m1/2=110, tanbeta=50, A0=0, sign(mu)=+ve| 2.8372 | 4.5906 | 59.0976 | 0.21274 | 26.1 | 25.5 | 7.91 | 6.91 | 65.2 | 127 |
 |(scale=0.5) m0=190, m1/2=120, tanbeta=50, A0=0, sign(mu)=+ve| 2.0618 | 3.5376 | 32.0442 | 0.21891 | 19.3 | 19.8 | 5.999 | 4.89 | 40.8 | 88.6 |
 |(scale=0.5) m0=190, m1/2=130, tanbeta=50, A0=0, sign(mu)=+ve| 1.5147 | 2.7432 | 19.6761 | 0.22709 | 14.3 | 15.6 | 4.534 | 3.498 | 26.2 | 62.6 |
 |(scale=0.5) m0=190, m1/2=140, tanbeta=50, A0=0, sign(mu)=+ve| 1.1258 | 2.1438 | 12.8481 | 0.23776 | 10.8 | 12.3 | 3.422 | 2.517 | 17.1 | 44.8 |
 |(scale=0.5) m0=190, m1/2=150, tanbeta=50, A0=0, sign(mu)=+ve| 0.8442 | 1.68285 | 8.82608 | 0.25136 | 8.18 | 9.85 | 2.58 | 1.833 | 11.4 | 32.5 |
 |(scale=0.5) m0=190, m1/2=160, tanbeta=50, A0=0, sign(mu)=+ve| 0.63378 | 1.33135 | 6.2856 | 0.26813 | 6.32 | 7.97 | 1.952 | 1.348 | 7.68 | 23.9 |
 |(scale=0.5) m0=190, m1/2=170, tanbeta=50, A0=0, sign(mu)=+ve| 0.48518 | 1.05976 | 4.59421 | 0.29083 | 4.85 | 6.44 | 1.485 | 1.002 | 5.32 | 17.7 |
 |(scale=0.5) m0=190, m1/2=180, tanbeta=50, A0=0, sign(mu)=+ve| 0.37639 | 0.84793 | 3.4504 | 0.31817 | 3.73 | 5.22 | 1.137 | 0.752 | 3.75 | 13.3 |
 |(scale=0.5) m0=190, m1/2=190, tanbeta=50, A0=0, sign(mu)=+ve| 0.29488 | 0.68147 | 2.63695 | 0.35335 | 2.89 | 4.26 | 0.8687 | 0.568 | 2.69 | 10.1 |
 |(scale=0.5) m0=190, m1/2=200, tanbeta=50, A0=0, sign(mu)=+ve| 0.23378 | 0.5525 | 2.0518 | 0.399438 | 2.24 | 3.48 | 0.6695 | 0.432 | 1.95 | 7.75 |
 |(scale=0.5) m0=190, m1/2=210, tanbeta=50, A0=0, sign(mu)=+ve| 0.18638 | 0.44935 | 1.61734 | 0.458317 | 1.75 | 2.86 | 0.5189 | 0.3321 | 1.43 | 5.99 |
 |(scale=0.5) m0=190, m1/2=220, tanbeta=50, A0=0, sign(mu)=+ve| 0.14969 | 0.367863 | 1.28992 | 0.534082 | 1.38 | 2.36 | 0.4043 | 0.2566 | 1.06 | 4.66 |
 |(scale=0.5) m0=190, m1/2=230, tanbeta=50, A0=0, sign(mu)=+ve| 0.120506 | 0.301537 | 1.04114 | 0.634771 | 1.09 | 1.96 | 0.3168 | 0.1994 | 0.788 | 3.63 |
 |(scale=0.5) m0=190, m1/2=240, tanbeta=50, A0=0, sign(mu)=+ve| 0.097366 | 0.248855 | 0.847831 | 0.767485 | 0.861 | 1.63 | 0.2492 | 0.1564 | 0.589 | 2.85 |
 |(scale=0.5) m0=190, m1/2=250, tanbeta=50, A0=0, sign(mu)=+ve| 0.079185 | 0.206048 | 0.695436 | 0.950154 | 0.685 | 1.36 | 0.1968 | 0.1228 | 0.443 | 2.25 |
 |(scale=0.5) m0=190, m1/2=260, tanbeta=50, A0=0, sign(mu)=+ve| 0.064675 | 0.171264 | 0.575962 | 1.21984 | 0.547 | 1.14 | 0.1566 | 0.0972 | 0.336 | 1.78 |
 |(scale=0.5) m0=190, m1/2=270, tanbeta=50, A0=0, sign(mu)=+ve| 0.053018 | 0.143082 | 0.479871 | 1.75472 | 0.439 | 0.954 | 0.1252 | 0.0773 | 0.257 | 1.42 |
 |(scale=0.5) m0=190, m1/2=280, tanbeta=50, A0=0, sign(mu)=+ve| 0.043637 | 0.119688 | 0.401154 | 0.770713 | 0.353 | 0.803 | 0.1001 | 0.0617 | 0.197 | 1.13 |
 |(scale=0.5) m0=190, m1/2=290, tanbeta=50, A0=0, sign(mu)=+ve| 0.036086 | 0.100552 | 0.336734 | 0.879748 | 0.286 | 0.677 | 0.0806 | 0.0496 | 0.152 | 0.91 |
 |(scale=0.5) m0=190, m1/2=300, tanbeta=50, A0=0, sign(mu)=+ve| 0.029851 | 0.084796 | 0.28644 | 0.994011 | 0.231 | 0.573 | 0.0652 | 0.0399 | 0.118 | 0.733 |
 |(scale=0.5) m0=190, m1/2=310, tanbeta=50, A0=0, sign(mu)=+ve| 0.024846 | 0.0717739 | 0.244208 | 1.10549 | 0.188 | 0.486 | 0.05284 | 0.03228 | 0.0918 | 0.593 |
 |(scale=0.5) m0=190, m1/2=320, tanbeta=50, A0=0, sign(mu)=+ve| 0.0207233 | 0.0607967 | 0.208952 | 1.21107 | 0.153 | 0.413 | 0.04304 | 0.02627 | 0.0718 | 0.482 |
 |(scale=0.5) m0=190, m1/2=330, tanbeta=50, A0=0, sign(mu)=+ve| 0.0173383 | 0.0517186 | 0.17975 | 1.29692 | 0.125 | 0.352 | 0.03516 | 0.02138 | 0.0564 | 0.392 |
 |(scale=0.5) m0=190, m1/2=340, tanbeta=50, A0=0, sign(mu)=+ve| 0.0145291 | 0.0440866 | 0.155107 | 1.35299 | 0.103 | 0.3 | 0.02886 | 0.01746 | 0.0445 | 0.32 |
 |(scale=0.5) m0=190, m1/2=350, tanbeta=50, A0=0, sign(mu)=+ve| 0.0122201 | 0.0376619 | 0.134254 | 1.37914 | 0.0844 | 0.256 | 0.0237 | 0.01433 | 0.0352 | 0.262 |
 |(scale=0.5) m0=190, m1/2=360, tanbeta=50, A0=0, sign(mu)=+ve| 0.0102732 | 0.0322321 | 0.11661 | 1.36575 | 0.0695 | 0.219 | 0.01956 | 0.01179 | 0.0279 | 0.215 |
 |(scale=0.5) m0=190, m1/2=370, tanbeta=50, A0=0, sign(mu)=+ve| 0.0086841 | 0.0276757 | 0.101324 | 1.31246 | 0.0574 | 0.188 | 0.01621 | 0.00973 | 0.0223 | 0.177 |
 |(scale=0.5) m0=190, m1/2=380, tanbeta=50, A0=0, sign(mu)=+ve| 0.0073337 | 0.0238094 | 0.0886693 | 1.2393 | 0.0474 | 0.161 | 0.01343 | 0.00804 | 0.0178 | 0.146 |
 |(scale=0.5) m0=190, m1/2=390, tanbeta=50, A0=0, sign(mu)=+ve| 0.0062167 | 0.0205275 | 0.0778961 | 1.1464 | 0.0393 | 0.139 | 0.01117 | 0.00667 | 0.0142 | 0.121 |
 |(scale=0.5) m0=190, m1/2=400, tanbeta=50, A0=0, sign(mu)=+ve| 0.005274 | 0.0177332 | 0.0683719 | 1.03372 | 0.0326 | 0.119 | 0.00932 | 0.00554 | 0.0114 | 0.1 |
 |(scale=0.5) m0=190, m1/2=410, tanbeta=50, A0=0, sign(mu)=+ve| 0.004476 | 0.0153401 | 0.0602963 | 0.928218 | 0.0271 | 0.103 | 0.00778 | 0.00462 | 0.0092 | 0.0832 |
 |(scale=0.5) m0=190, m1/2=420, tanbeta=50, A0=0, sign(mu)=+ve| 0.0038266 | 0.0133055 | 0.0532985 | 0.823924 | 0.0225 | 0.0885 | 0.006521 | 0.00386 | 0.00743 | 0.0692 |
 |(scale=0.5) m0=190, m1/2=430, tanbeta=50, A0=0, sign(mu)=+ve| 0.00325353 | 0.011555 | 0.0471677 | 0.725803 | 0.0188 | 0.0764 | 0.005471 | 0.00322 | 0.00601 | 0.0576 |
 |(scale=0.5) m0=190, m1/2=440, tanbeta=50, A0=0, sign(mu)=+ve| 0.0027842 | 0.0100469 | 0.0418677 | 0.636772 | 0.0157 | 0.066 | 0.004605 | 0.0027 | 0.00487 | 0.0481 |
