 | Sub-processes | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
 |(scale=1.0) m0=10, m1/2=100, tanbeta=3, A0=0, sign(mu)=+ve| 6.2054 | 13.5749 | 12.1789 | 16.8136 | 92.9 | 69.7 | 31.38 | 10.32 | 106 | 293 |
 |(scale=1.0) m0=10, m1/2=110, tanbeta=3, A0=0, sign(mu)=+ve| 4.136 | 9.1883 | 289.38 | 15.2396 | 59 | 48.4 | 21.698 | 6.43 | 63.2 | 187 |
 |(scale=1.0) m0=10, m1/2=120, tanbeta=3, A0=0, sign(mu)=+ve| 2.8839 | 6.5152 | 71.4864 | 7.8897 | 39.8 | 35.3 | 15.177 | 4.27 | 40.2 | 127 |
 |(scale=1.0) m0=10, m1/2=130, tanbeta=3, A0=0, sign(mu)=+ve| 2.045 | 4.6718 | 58.8226 | 5.1004 | 27.2 | 26 | 10.484 | 2.86 | 25.9 | 86.5 |
 |(scale=1.0) m0=10, m1/2=140, tanbeta=3, A0=0, sign(mu)=+ve| 1.47885 | 3.40177 | 29.631 | 3.59485 | 18.9 | 19.5 | 7.306 | 1.943 | 17 | 60.2 |
 |(scale=1.0) m0=10, m1/2=150, tanbeta=3, A0=0, sign(mu)=+ve| 1.08688 | 2.52326 | 17.4202 | 2.66239 | 12.8 | 14.8 | 5.127 | 1.351 | 11.4 | 42.6 |
 |(scale=1.0) m0=10, m1/2=160, tanbeta=3, A0=0, sign(mu)=+ve| 0.81349 | 1.89405 | 11.1019 | 2.03984 | 9.23 | 11.4 | 3.628 | 0.953 | 7.88 | 30.8 |
 |(scale=1.0) m0=10, m1/2=170, tanbeta=3, A0=0, sign(mu)=+ve| 0.61749 | 1.44734 | 7.50794 | 1.60393 | 6.78 | 8.95 | 2.6099 | 0.686 | 5.5 | 22.5 |
 |(scale=1.0) m0=10, m1/2=180, tanbeta=3, A0=0, sign(mu)=+ve| 0.4711 | 1.11301 | 5.28131 | 1.28148 | 5.01 | 7.03 | 1.8878 | 0.497 | 3.83 | 16.5 |
 |(scale=1.0) m0=10, m1/2=190, tanbeta=3, A0=0, sign(mu)=+ve| 0.36237 | 0.86507 | 3.83616 | 1.04039 | 3.74 | 5.58 | 1.381 | 0.365 | 2.71 | 12.3 |
 |(scale=1.0) m0=10, m1/2=200, tanbeta=3, A0=0, sign(mu)=+ve| 0.282566 | 0.679023 | 2.84723 | 0.854753 | 2.82 | 4.46 | 1.02 | 0.271 | 1.94 | 9.22 |
 |(scale=1.0) m0=10, m1/2=210, tanbeta=3, A0=0, sign(mu)=+ve| 0.221416 | 0.535609 | 2.15462 | 0.709384 | 2.15 | 3.59 | 0.76 | 0.203 | 1.4 | 6.99 |
 |(scale=1.0) m0=10, m1/2=220, tanbeta=3, A0=0, sign(mu)=+ve| 0.175183 | 0.42778 | 1.67133 | 0.593818 | 1.65 | 2.91 | 0.5712 | 0.1534 | 1.03 | 5.34 |
 |(scale=1.0) m0=10, m1/2=230, tanbeta=3, A0=0, sign(mu)=+ve| 0.139492 | 0.343368 | 1.31635 | 0.501229 | 1.27 | 2.37 | 0.4331 | 0.1169 | 0.757 | 4.11 |
 |(scale=1.0) m0=10, m1/2=240, tanbeta=3, A0=0, sign(mu)=+ve| 0.111653 | 0.277339 | 1.04736 | 0.426736 | 0.99 | 1.94 | 0.3313 | 0.0897 | 0.563 | 3.19 |
 |(scale=1.0) m0=10, m1/2=250, tanbeta=3, A0=0, sign(mu)=+ve| 0.08995 | 0.225408 | 0.843178 | 0.364868 | 0.776 | 1.6 | 0.2545 | 0.0694 | 0.422 | 2.49 |
 |(scale=1.0) m0=10, m1/2=260, tanbeta=3, A0=0, sign(mu)=+ve| 0.073087 | 0.18429 | 0.68781 | 0.313841 | 0.611 | 1.33 | 0.1975 | 0.054 | 0.318 | 1.95 |
 |(scale=1.0) m0=10, m1/2=270, tanbeta=3, A0=0, sign(mu)=+ve| 0.059089 | 0.150323 | 0.567842 | 0.270657 | 0.478 | 1.09 | 0.153 | 0.0418 | 0.239 | 1.53 |
 |(scale=1.0) m0=10, m1/2=280, tanbeta=3, A0=0, sign(mu)=+ve| 0.0483247 | 0.124136 | 0.469644 | 0.235071 | 0.38 | 0.91 | 0.12013 | 0.0329 | 0.183 | 1.21 |
 |(scale=1.0) m0=10, m1/2=290, tanbeta=3, A0=0, sign(mu)=+ve| 0.0396955 | 0.102902 | 0.392799 | 0.20506 | 0.303 | 0.761 | 0.09482 | 0.026 | 0.14 | 0.964 |
 |(scale=1.0) m0=10, m1/2=300, tanbeta=3, A0=0, sign(mu)=+ve| 0.0326909 | 0.085646 | 0.330289 | 0.179599 | 0.243 | 0.638 | 0.07531 | 0.02065 | 0.108 | 0.772 |
 |(scale=1.0) m0=10, m1/2=310, tanbeta=3, A0=0, sign(mu)=+ve| 0.0269832 | 0.0716475 | 0.278982 | 0.157942 | 0.196 | 0.537 | 0.06013 | 0.01651 | 0.0839 | 0.62 |
 |(scale=1.0) m0=10, m1/2=320, tanbeta=3, A0=0, sign(mu)=+ve| 0.0224112 | 0.0600545 | 0.236276 | 0.139186 | 0.158 | 0.453 | 0.04823 | 0.01322 | 0.0654 | 0.5 |
 |(scale=1.0) m0=10, m1/2=330, tanbeta=3, A0=0, sign(mu)=+ve| 0.018642 | 0.0505367 | 0.202101 | 0.12327 | 0.128 | 0.383 | 0.03889 | 0.01065 | 0.0512 | 0.405 |
 |(scale=1.0) m0=10, m1/2=340, tanbeta=3, A0=0, sign(mu)=+ve| 0.0155457 | 0.0426837 | 0.173316 | 0.109411 | 0.104 | 0.324 | 0.03147 | 0.0086 | 0.0402 | 0.329 |
 |(scale=1.0) m0=10, m1/2=350, tanbeta=3, A0=0, sign(mu)=+ve| 0.0130267 | 0.0361805 | 0.149219 | 0.0973173 | 0.0848 | 0.276 | 0.02554 | 0.00697 | 0.0317 | 0.268 |
 |(scale=1.0) m0=10, m1/2=360, tanbeta=3, A0=0, sign(mu)=+ve| 0.0109301 | 0.0307179 | 0.128832 | 0.0866919 | 0.0693 | 0.234 | 0.02089 | 0.00566 | 0.0251 | 0.219 |
 |(scale=1.0) m0=10, m1/2=370, tanbeta=3, A0=0, sign(mu)=+ve| 0.00917347 | 0.0261554 | 0.111692 | 0.0775651 | 0.0568 | 0.2 | 0.01711 | 0.00461 | 0.0199 | 0.179 |
 |(scale=1.0) m0=10, m1/2=380, tanbeta=3, A0=0, sign(mu)=+ve| 0.00773966 | 0.0223465 | 0.0971467 | 0.0695952 | 0.0466 | 0.171 | 0.01407 | 0.00377 | 0.0158 | 0.147 |
 |(scale=1.0) m0=10, m1/2=390, tanbeta=3, A0=0, sign(mu)=+ve| 0.00652092 | 0.0191276 | 0.0852634 | 0.0624894 | 0.0384 | 0.146 | 0.011575 | 0.00309 | 0.0126 | 0.121 |
 |(scale=1.0) m0=10, m1/2=400, tanbeta=3, A0=0, sign(mu)=+ve| 0.00552475 | 0.0164032 | 0.0743175 | 0.0561856 | 0.0316 | 0.125 | 0.009574 | 0.00254 | 0.0101 | 0.0998 |
 |(scale=1.0) m0=10, m1/2=410, tanbeta=3, A0=0, sign(mu)=+ve| 0.00467239 | 0.0141119 | 0.0650843 | 0.050742 | 0.0262 | 0.107 | 0.007941 | 0.002093 | 0.00811 | 0.0825 |
 |(scale=1.0) m0=10, m1/2=420, tanbeta=3, A0=0, sign(mu)=+ve| 0.00397694 | 0.0121592 | 0.0571906 | 0.0458979 | 0.0216 | 0.0919 | 0.006601 | 0.00173 | 0.00652 | 0.0683 |
 |(scale=1.0) m0=10, m1/2=430, tanbeta=3, A0=0, sign(mu)=+ve| 0.00338072 | 0.0105052 | 0.0504937 | 0.0415517 | 0.0179 | 0.079 | 0.005499 | 0.001432 | 0.00525 | 0.0567 |
 |(scale=1.0) m0=10, m1/2=440, tanbeta=3, A0=0, sign(mu)=+ve| 0.00287732 | 0.00909701 | 0.0446311 | 0.0376813 | 0.0149 | 0.068 | 0.004593 | 0.001188 | 0.00424 | 0.0471 |
 |(scale=1.0) m0=10, m1/2=450, tanbeta=3, A0=0, sign(mu)=+ve| 0.00245343 | 0.00787389 | 0.0395763 | 0.0341916 | 0.0124 | 0.0586 | 0.003849 | 0.000987 | 0.00343 | 0.0392 |
